CRN	Course	Title	Type	Cr Hrs	Capacity	Instructor	Days	Begin	End	Location	Exam
10060	AAEC-1005	Econ Food Fiber Sys	L	3	245	SK Stephenson	M W F	12:20PM	1:10PM	MCB 100	12M
10061	AAEC-1006	Econ Food Fiber Syst	L	3	264	MJ Ellerbrock	M W F	9:05AM	9:55AM	LITRV 1670	09M
10266	AHRM-2404	Consumer Rights	L	3	150	PJ Fisher	T R	9:30AM	10:45AM	LITRV 1670	09T
12371	COMM-1014	Intro to Comm Studies	L	3	275	BW Howell	T R	2:00PM	3:15PM	TORG 2150	14T
13178	ECON-2005	Principles of Economics	L	3	40	AR Oryoie	M W F	1:25PM	2:15PM	PAM 1008	13M
13179	ECON-2005	Principles of Economics	L	3	530	SC Trost	M W F	11:15AM	12:05PM	GLCDB 64	11M
13180	ECON-2005	Principles of Economics	L	3	530	SC Trost	M W F	12:20PM	1:10PM	GLCDB 64	12M
13182	ECON-2005	Principles of Economics	L	3	113	A Vahidmanesh	M W F	9:05AM	9:55AM	PAM 30	09M
13183	ECON-2006	Principles of Economics	L	3	115	SM Asif Ehsan	M W F	12:20PM	1:10PM	ROB 210	12M
13184	ECON-2006	Principles of Economics	L	3	108	GH Gebremariam	M W F	10:10AM	11:00AM	PAM 30	10M
13185	ECON-2006	Principles of Economics	L	3	40	A Mohebbi Ashtiani	M W F	10:10AM	11:00AM	PAM 3004	10M
13186	ECON-2006	Principles of Economics	L	3	110	GH Gebremariam	M W F	12:20PM	1:10PM	PAM 30	12M
13187	ECON-2006	Principles of Economics	L	3	36	T Yang	M W F	9:05AM	9:55AM	PAM 1008	09M
13188	ECON-2006	Principles of Economics	L	3	110	GH Gebremariam	M W F	11:15AM	12:05PM	PAM 30	11M
13189	ECON-2006	Principles of Economics	L	3	40	T Matje	M W F	1:25PM	2:15PM	SURGE 104A	13M
13190	ECON-2006	Principles of Economics	L	3	108	MH Mostafavi Dehzooei	M W F	1:25PM	2:15PM	PAM 30	13M
13191	ECON-2006	Principles of Economics	L	3	110	ES Perdue	M W F	8:00AM	8:50AM	PAM 30	08M
19047	EDCI-3024	Issues in American Schooling	L	3	25	JT Harman	T R	11:00AM	12:15PM	GYM 400	11T
14252	GEOG-1014	World Regions	ONLINE	3	2250	JD Boyer	(ARR)	----- (ARR) -----		TBA	00X
14259	GEOG-2054	Introduction to World Politics	L	3	100	CI Thomas	M W F	9:05AM	9:55AM	SURGE 104D	09M
