CRN	Course	Title	Type	Cr Hrs	Capacity	Instructor	Days	Begin	End	Location	Exam
17097	MUS-3314	Instrumental Ensemble Music	L23	1	25	JA Crafton	M W F	1:25PM	2:15PM	SQUIR 162	13M
17098	MUS-3314	Instrumental Ensemble Music	L01	1	100	WJ Glazebrook	T R	7:00PM	9:50PM	SQUIR 243	19T
17099	MUS-3314	Instrumental Ensemble Music	L13	1	25	WE Easter	W	7:00PM	9:00PM	SQUIR 243	19W
17100	MUS-3314	Instrumental Ensemble Music	L21	1	20	A Weinstein	(ARR)	----- (ARR) -----		TBA	00X
17101	MUS-3314	Instrumental Ensemble Music	L11	1	20	TE Cowden	(ARR)	----- (ARR) -----		TBA	00X
17102	MUS-3314	Instrumental Ensemble Music	L22	1	125	DM McKee	T R	5:00PM	6:15PM	SQUIR 243	17T
17104	MUS-3314	Instrumental Ensemble Music	L08	1	100	J Caldwell	M W F	2:30PM	4:25PM	SQUIR 243	14M
17105	MUS-3314	Instrumental Ensemble Music	L16	1	175	PK Middleton	M	6:45PM	10:15PM	SQUIR 243	18M
17106	MUS-3314	Instrumental Ensemble Music	L19	1	40	AJ Stevens	M W F	1:25PM	2:15PM	SQUIR 243	13M
				* Additional Times *			T R	3:30PM	4:45PM	SQUIR 243	
17107	MUS-3314	Instrumental Ensemble Music	L06	1	20	JM Bean	T R	7:00PM	8:30PM	SQUIR 162	19T
17108	MUS-3314	TS:Instrmntl Ensmble Mus L20RK	L20	1	20	I Bukvic	T R	3:30PM	5:30PM	LIBR 121	15T
17109	MUS-3314	Instrumental Ensemble Music	L10	1	35	WE Easter	(ARR)	----- (ARR) -----		TBA	00X
17110	MUS-3314	Instrumental Ensemble Music	L07	1	10	JN Wallace	(ARR)	----- (ARR) -----		TBA	00X
17111	MUS-3314	Instrumental Ensemble Music	L05	1	25	JA Crafton	(ARR)	----- (ARR) -----		TBA	00X
17112	MUS-3314	Instrumental Ensemble Music	L18	1	100	PK Middleton	(ARR)	----- (ARR) -----		TBA	00X
19491	MUS-3314	Instrumental Ensemble Music	L26	1	10	W Parrish	(ARR)	----- (ARR) -----		TBA	00X
19974	MUS-3314	Instrumental Ensemble Music	L27	1	10	RJ Masters	(ARR)	----- (ARR) -----		TBA	00X
20496	MUS-3314	Instrumental Ensemble Music	L24	1	5	J Caldwell	(ARR)	----- (ARR) -----		TBA	00X
20497	MUS-3314	Instrumental Ensemble Music	L25	1	3	EL Crone	(ARR)	----- (ARR) -----		TBA	00X
17114	MUS-3414	Choral Ensemble Music	L06	1	50	DD Bigler	M W F	3:35PM	5:15PM	SQUIR SALON	15M
17115	MUS-3414	Choral Ensemble Music	L08	1	100	DD Bigler	M W	5:30PM	6:55PM	SQUIR SALON	17M
17116	MUS-3414	Choral Ensemble Music	L	1	100	NT Baldwin	M R	5:30PM	6:55PM	SQUIR SALON	17
18418	TA-2014	Introduction to Theatre	L	3	550	SC Rinehart	M W F	11:15AM	12:05PM	SQUIR COLNL	11M
18419	TA-2024	Introduction to Acting	L	3	20	SC Rinehart	M W	9:30AM	10:45AM	T101 101	09M
18420	TA-2024	Introduction to Acting	L	3	20	SC Rinehart	T R	3:30PM	4:45PM	T101 201	15T
20304	TA-2024	Introduction to Acting	L	3	20	AK Halg Bieri	T R	9:30AM	10:45AM	T101 101	09T
18426	TA-2204	Creative Dance	L	3	30	B Lepczyk	T R	2:00PM	3:15PM	COLS2 214	14T
18427	TA-2204	Creative Dance	L	3	30	B Lepczyk	T R	3:30PM	4:45PM	COLS2 214	15T
