CRN	Course	Title	Type	Cr Hrs	Capacity	Instructor	Days	Begin	End	Location	Exam
11097	BIOL-1006	General Biology	L	3	410	JW Via	T R	12:30PM	1:45PM	GLCDB 64	12T
11098	BIOL-1016	General Biology Lab	B	1	24	W Lee	M	12:20PM	2:15PM	DER 1021	12M
11099	BIOL-1016	General Biology Lab	B	1	24	W Lee	T	10:10AM	12:05PM	DER 1021	10T
11100	BIOL-1016	General Biology Lab	B	1	24	W Lee	T	2:30PM	4:25PM	DER 1021	14T
11101	BIOL-1016	General Biology Lab	B	1	24	W Lee	W	8:00AM	9:55AM	DER 1021	08W
11102	BIOL-1016	General Biology Lab	B	1	24	W Lee	W	12:20PM	2:15PM	DER 1021	12W
11103	BIOL-1106	Principles of Biology	L	3	224	JA Evans	T R	12:30PM	1:45PM	GOODW 190	12T
11104	BIOL-1106	Principles of Biology	L	3	224	GN Stevens	T R	2:00PM	3:15PM	GOODW 190	14T
11105	BIOL-1106	Principles of Biology	L	3	224	DM Denbow	T R	8:00AM	9:15AM	LITRV 1670	08T
11106	BIOL-1106	Principles of Biology	L	3	224	EP Hogan	T R	11:00AM	12:15PM	SQUIR COLNL	11T
11107	BIOL-1106	Principles of Biology	L	3	224	MS Rosenzweig	M W	2:30PM	3:45PM	SQUIR COLNL	14M
11108	BIOL-1106	Principles of Biology	L	3	224	MS Rosenzweig	M W	4:00PM	5:15PM	SQUIR COLNL	16M
11109	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	8:00AM	9:55AM	DER 1009	08M
11110	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	10:10AM	12:05PM	DER 1009	10M
11111	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	12:20PM	2:15PM	DER 1009	12M
11112	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	2:30PM	4:25PM	DER 1009	14M
11113	BIOL-1116	Principles of Biol Lab	B	1	0	W Lee	M	4:40PM	6:35PM	DER 1009	16M
11114	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	8:00AM	9:55AM	DER 1009	08T
11115	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	10:10AM	12:05PM	DER 1009	10T
11116	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	12:20PM	2:15PM	DER 1009	12T
11117	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	2:30PM	4:25PM	DER 1009	14T
11119	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	8:00AM	9:55AM	DER 1009	08W
11120	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	10:10AM	12:05PM	DER 1009	10W
11121	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	12:20PM	2:15PM	DER 1009	12W
11122	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	2:30PM	4:25PM	DER 1009	14W
11123	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	R	8:00AM	9:55AM	DER 1009	08R
11124	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	R	10:10AM	12:05PM	DER 1009	10R
11125	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	R	12:20PM	2:15PM	DER 1009	12R
11126	BIOL-1116	Principles of Biol Lab	B	1	0	W Lee	R	2:30PM	4:25PM	DER 1009	14R
11127	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	8:00AM	9:55AM	DER 1021	08M
11128	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	10:10AM	12:05PM	DER 1021	10M
11129	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	2:30PM	4:25PM	DER 1021	14M
11130	BIOL-1116	Principles of Biol Lab	B	1	0	W Lee	M	4:40PM	6:35PM	DER 1021	16M
11131	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	8:00AM	9:55AM	DER 1021	08T
11132	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	12:20PM	2:15PM	DER 1021	12T
11134	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	10:10AM	12:05PM	DER 1021	10W
11135	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	2:30PM	4:25PM	DER 1021	14W
11136	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	R	8:00AM	9:55AM	DER 1021	08R
11137	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	R	10:10AM	12:05PM	DER 1021	10R
11138	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	8:00AM	9:55AM	DER 1022	08M
11139	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	10:10AM	12:05PM	DER 1022	10M
11140	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	12:20PM	2:15PM	DER 1022	12M
11141	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	2:30PM	4:25PM	DER 1022	14M
11142	BIOL-1116	Principles of Biol Lab	B	1	0	W Lee	M	4:40PM	6:35PM	DER 1022	16M
11143	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	8:00AM	9:55AM	DER 1022	08T
11144	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	10:10AM	12:05PM	DER 1022	10T
11145	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	12:20PM	2:15PM	DER 1022	12T
11146	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	2:30PM	4:25PM	DER 1022	14T
11147	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	8:00AM	9:55AM	DER 1022	08W
11148	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	10:10AM	12:05PM	DER 1022	10W
11149	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	12:20PM	2:15PM	DER 1022	12W
11150	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	2:30PM	4:25PM	DER 1022	14W
11151	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	R	8:00AM	9:55AM	DER 1022	08R
11152	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	R	10:10AM	12:05PM	DER 1022	10R
11153	BIOL-1116	Principles of Biol Lab	B	1	0	W Lee	R	12:20PM	2:15PM	DER 1022	12R
11154	BIOL-1116	Principles of Biol Lab	B	1	0	W Lee	R	2:30PM	4:25PM	DER 1022	14R
11155	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	8:00AM	9:55AM	DER 1033	08M
11156	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	10:10AM	12:05PM	DER 1033	10M
11157	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	12:20PM	2:15PM	DER 1033	12M
11158	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	M	2:30PM	4:25PM	DER 1033	14M
11159	BIOL-1116	Principles of Biol Lab	B	1	0	W Lee	M	4:40PM	6:35PM	DER 1033	16M
11160	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	8:00AM	9:55AM	DER 1033	08T
11161	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	10:10AM	12:05PM	DER 1033	10T
11162	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	12:20PM	2:15PM	DER 1033	12T
11163	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	T	2:30PM	4:25PM	DER 1033	14T
11165	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	8:00AM	9:55AM	DER 1033	08W
11166	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	10:10AM	12:05PM	DER 1033	10W
11167	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	12:20PM	2:15PM	DER 1033	12W
20063	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	R	12:20PM	2:15PM	DER 1021	12R
20064	BIOL-1116	Principles of Biol Lab	B	1	0	W Lee	R	2:30PM	4:25PM	DER 1021	14R
20065	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	W	2:30PM	4:25PM	DER 1033	14W
20066	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	R	8:00AM	9:55AM	DER 1033	08R
20067	BIOL-1116	Principles of Biol Lab	B	1	24	W Lee	R	10:10AM	12:05PM	DER 1033	10R
20068	BIOL-1116	Principles of Biol Lab	B	1	0	W Lee	R	12:20PM	2:15PM	DER 1033	12R
20069	BIOL-1116	Principles of Biol Lab	B	1	0	W Lee	R	2:30PM	4:25PM	DER 1033	14R
11973	CHEM-1016	Introduction to Chemistry	L	3	300	JE Eddleton	T R	11:00AM	12:15PM	DAV 281	11T
11974	CHEM-1026	Intro Chem Lab	B	1	24	JE Eddleton	M	12:00PM	1:50PM	HAHN N 308	12M
11975	CHEM-1026	Intro Chem Lab	B	1	0	JE Eddleton	M	8:00AM	9:50AM	HAHN N 308	08M
11976	CHEM-1026	Intro Chem Lab	B	1	24	JE Eddleton	M	10:00AM	11:50AM	HAHN N 308	10M
11977	CHEM-1035	General Chemistry	L	3	35	MA Berg	M W	4:00PM	5:15PM	DAV 281	CTE
				* Additional Times *			R	4:00PM	4:50PM	MCB 318	
11978	CHEM-1035	General Chemistry	L	3	35	MA Berg	M W	4:00PM	5:15PM	DAV 281	CTE
				* Additional Times *			R	6:00PM	6:50PM	MCB 308	
11979	CHEM-1035	General Chemistry	L	3	35	SM Arachchige	M W F	10:10AM	11:00AM	DAV 281	CTE
				* Additional Times *			R	5:00PM	5:50PM	MCB 318	
11980	CHEM-1035	General Chemistry	L	3	34	SM Arachchige	M W F	10:10AM	11:00AM	DAV 281	CTE
				* Additional Times *			R	6:00PM	6:50PM	MCB 316	
11981	CHEM-1035	General Chemistry	L	3	35	SM Arachchige	M W F	10:10AM	11:00AM	DAV 281	CTE
				* Additional Times *			R	5:00PM	5:50PM	MCB 329	
11982	CHEM-1035	General Chemistry	L	3	35	SM Arachchige	M W F	10:10AM	11:00AM	DAV 281	CTE
				* Additional Times *			R	5:00PM	5:50PM	MCB 304	
11983	CHEM-1035	General Chemistry	L	3	35	MA Berg	M W	4:00PM	5:15PM	DAV 281	CTE
				* Additional Times *			R	5:00PM	5:50PM	MCB 218	
11984	CHEM-1035	General Chemistry	L	3	35	SM Arachchige	M W F	10:10AM	11:00AM	DAV 281	CTE
				* Additional Times *			R	2:00PM	2:50PM	PAM 1001	
11985	CHEM-1035	General Chemistry	L	3	35	MA Berg	M W	4:00PM	5:15PM	DAV 281	CTE
				* Additional Times *			R	4:00PM	4:50PM	MCB 308	
11986	CHEM-1035	General Chemistry	L	3	35	MA Berg	M W	4:00PM	5:15PM	DAV 281	CTE
				* Additional Times *			R	5:00PM	5:50PM	MCB 332	
11987	CHEM-1035	General Chemistry	L	3	35	MA Berg	M W	4:00PM	5:15PM	DAV 281	CTE
				* Additional Times *			R	4:00PM	4:50PM	MCB 304	
11988	CHEM-1035	General Chemistry	L	3	35	MA Berg	M W	4:00PM	5:15PM	DAV 281	CTE
				* Additional Times *			R	6:00PM	6:50PM	MCB 318	
11989	CHEM-1035	General Chemistry	L	3	35	SM Arachchige	M W F	10:10AM	11:00AM	DAV 281	CTE
				* Additional Times *			R	4:00PM	4:50PM	MCB 329	
11990	CHEM-1035	General Chemistry	L	3	35	MA Berg	M W	4:00PM	5:15PM	DAV 281	CTE
				* Additional Times *			R	6:00PM	6:50PM	MCB 329	
11991	CHEM-1035	General Chemistry	L	3	35	SM Arachchige	M W F	10:10AM	11:00AM	DAV 281	CTE
				* Additional Times *			R	5:00PM	5:50PM	MCB 307	
11992	CHEM-1035	General Chemistry	L	3	35	SM Arachchige	M W F	10:10AM	11:00AM	DAV	CTE
				* Additional Times *			R	5:00PM	5:50PM	MCB 233	
11993	CHEM-1035	General Chemistry	L	3	33	JE Eddleton	M W F	1:25PM	2:15PM	HAHN N 140	CTE
				* Additional Times *			R	4:00PM	4:50PM	MCB 328	
11994	CHEM-1035	General Chemistry	L	3	34	JE Eddleton	M W F	1:25PM	2:15PM	HAHN N 140	CTE
				* Additional Times *			R	4:00PM	4:50PM	DER 1076	
11995	CHEM-1035	General Chemistry	L	3	33	JE Eddleton	M W F	1:25PM	2:15PM	HAHN N 140	CTE
				* Additional Times *			R	2:00PM	2:50PM	RAND 222	
11996	CHEM-1035	General Chemistry	L	3	33	JE Eddleton	M W F	1:25PM	2:15PM	HAHN N 140	CTE
				* Additional Times *			R	3:00PM	3:50PM	MCB 318	
11997	CHEM-1035	General Chemistry	L	3	34	JE Eddleton	M W F	1:25PM	2:15PM	HAHN N 140	CTE
				* Additional Times *			R	6:00PM	6:50PM	MCB 307	
11998	CHEM-1035	General Chemistry	L	3	33	JE Eddleton	M W F	1:25PM	2:15PM	HAHN N 140	CTE
				* Additional Times *			R	5:00PM	5:50PM	MCB 240	
11999	CHEM-1035	General Chemistry	L	3	35	SM Arachchige	M W F	10:10AM	11:00AM	DAV 281	CTE
				* Additional Times *			R	3:00PM	3:50PM	MCB 308	
